country,year,indicator,value
EG,2023,gdp,395926075163.006
EG,2022,gdp,476747720364.742
EG,2021,gdp,424671765455.704
EG,2020,gdp,383817841547.099
EG,2019,gdp,318678815489.749
EG,2018,gdp,262588632526.73
EG,2017,gdp,248362771739.13
EG,2016,gdp,332441717791.411
EG,2015,gdp,329366576819.407
EG,2014,gdp,305595408895.265
EG,2013,gdp,288434108527.132
EG,2012,gdp,279116666666.667
EG,2011,gdp,235989672977.625
EG,2010,gdp,218983666061.706
EG,2009,gdp,189147005444.646
EG,2008,gdp,162818181818.182
EG,2007,gdp,130437828371.278
EG,2006,gdp,107426086956.522
EG,2005,gdp,89660339660.3397
EG,2004,gdp,78782467532.4675
EG,2003,gdp,80288461538.4615
EG,2002,gdp,85146067415.7303
EG,2001,gdp,96684636118.5984
EG,2000,gdp,99838543960.0763
EG,1999,gdp,90710704806.8416
EG,1998,gdp,84828807556.0803
EG,1997,gdp,78436578171.0914
EG,1996,gdp,67629716981.1321
EG,1995,gdp,60159245060.4541
EG,1994,gdp,51897983392.6453
EG,1993,gdp,46578631452.581
EG,1992,gdp,41855986519.4235
EG,1991,gdp,37387836490.5284
EG,1990,gdp,42978914311.3504
EG,1989,gdp,39756299049.9793
EG,1988,gdp,34980124929.0176
EG,1987,gdp,40455616653.5742
EG,1986,gdp,41253507951.3564
EG,1985,gdp,39053502251.0732
EG,1984,gdp,33971188991.6147
EG,1983,gdp,30966239813.7369
EG,1982,gdp,27655172413.7931
EG,1981,gdp,22136081081.0811
EG,1980,gdp,21669908176.3889
EG,1979,gdp,18020571428.5714
EG,1978,gdp,14811704063.0685
EG,1977,gdp,14400806875.9867
EG,1976,gdp,13315988083.4161
EG,1975,gdp,11632178868.9171
EG,1974,gdp,9228963224.60004
EG,1973,gdp,10098534613.4411
EG,1972,gdp,9299638055.84281
EG,1971,gdp,8609283346.08518
EG,1970,gdp,8042200452.1477
EG,1969,gdp,6524455205.81114
EG,1968,gdp,5932242990.65421
EG,1967,gdp,5605484298.98275
EG,1966,gdp,5278005611.91453
EG,1965,gdp,4948667540.41066
